'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
2;46199;999;'';'';'';0;0;0;0;87641;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;46426;999;'';'';'';0;0;0;0;58996;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;46706;999;'';'';'';0;0;0;0;70163;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;46949;999;'';'';'';0;0;0;0;25511;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;47192;999;'';'';'';0;0;0;0;63637;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;48091;999;'';'';'';0;0;0;0;34276;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;48786;999;'';'';'';0;0;0;0;122201;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;49114;999;'';'';'';0;0;0;0;147589;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;49641;999;'';'';'';0;0;0;0;39267;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;49895;999;'';'';'';0;0;0;0;79309;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;50132;999;'';'';'';0;0;0;0;96701;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;50591;999;'';'';'';0;0;0;0;102886;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;50940;999;'';'';'';0;0;0;0;71661;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;51442;999;'';'';'';0;0;0;0;69483;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;51817;999;'';'';'';0;0;0;0;80865;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;52117;999;'';'';'';0;0;0;0;52085;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;52318;999;'';'';'';0;0;0;0;64026;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;52521;999;'';'';'';0;0;0;0;164230;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;52883;999;'';'';'';0;0;0;0;134788;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;52933;999;'';'';'';0;0;0;0;122366;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;52958;999;'';'';'';0;0;0;0;181451;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;53021;999;'';'';'';0;0;0;0;63126;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;53056;999;'';'';'';0;0;0;0;100540;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;53095;999;'';'';'';0;0;0;0;174428;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;53117;999;'';'';'';0;0;0;0;49792;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
